Date,Price,Open,High,Low,Change %,Vol.
2018-08-14,163.21,163.35,163.35,163.11,-0.09%,434950
2018-08-15,163.71,163.33,163.82,163.10,0.31%,506860
2018-08-16,163.49,163.41,163.67,163.36,-0.13%,402820
2018-08-17,163.67,163.53,163.88,163.42,0.11%,435260
2018-08-20,163.73,163.65,163.74,163.42,0.04%,354620
2018-08-21,163.24,163.60,163.71,163.17,-0.30%,469570
2018-08-22,163.00,163.36,163.45,162.91,-0.15%,597130
2018-08-23,163.06,163.22,163.23,162.93,0.04%,454720
2018-08-24,163.09,163.01,163.16,162.80,0.02%,500670
2018-08-27,162.64,163.17,163.36,162.55,-0.28%,391910
2018-08-28,162.52,162.67,162.87,162.35,-0.07%,815850
2018-08-29,162.18,162.62,162.68,162.10,-0.21%,708020
2018-08-30,162.98,162.28,163.08,162.13,0.49%,865700
2018-08-31,163.27,162.92,163.32,162.83,0.18%,1040000
2018-09-03,163.21,163.19,163.49,163.04,-0.04%,1250000
2018-09-04,162.87,163.21,163.22,162.80,-0.21%,1470000
2018-09-05,162.44,162.88,163.03,162.28,-0.26%,489970
2018-09-06,162.62,162.48,162.70,162.45,0.11%,29850
2018-09-07,159.95,160.42,160.43,159.83,-1.64%,568740
2018-09-10,159.69,159.94,160.10,159.52,-0.16%,607670
2018-09-11,159.30,159.67,159.67,159.23,-0.24%,612070
2018-09-12,159.63,159.35,159.80,159.34,0.21%,669390
2018-09-13,159.46,159.71,159.78,159.26,-0.11%,676490
2018-09-14,159.17,159.50,159.54,159.01,-0.18%,558070
2018-09-17,159.02,159.28,159.29,158.84,-0.09%,489770
2018-09-18,158.74,159.07,159.26,158.66,-0.18%,650230
2018-09-19,158.62,158.67,158.87,158.42,-0.08%,704490
2018-09-20,158.74,158.73,158.93,158.38,0.08%,734230
2018-09-21,159.00,158.75,159.10,158.68,0.16%,530180
2018-09-24,158.32,159.03,159.14,158.21,-0.43%,745990
2018-09-25,157.87,158.21,158.21,157.75,-0.28%,783450
2018-09-26,158.04,157.92,158.49,157.89,0.11%,518050
2018-09-27,158.06,158.56,158.79,158.02,0.01%,861140
2018-09-28,158.79,158.54,159.25,158.40,0.46%,1050000
2018-10-01,158.77,158.74,158.99,158.37,-0.01%,736060
2018-10-02,159.52,159.06,159.78,159.00,0.47%,901210
2018-10-03,158.93,159.17,159.46,158.21,-0.37%,840410
2018-10-04,158.04,157.99,158.48,157.74,-0.56%,1040000
2018-10-05,157.61,158.03,158.12,157.33,-0.27%,848350
2018-10-08,157.95,157.56,158.23,157.50,0.22%,591260
2018-10-09,158.09,157.95,158.18,157.61,0.09%,880490
2018-10-10,157.88,158.10,158.16,157.45,-0.13%,759650
2018-10-11,158.35,158.33,158.71,158.12,0.30%,927370
2018-10-12,158.53,158.16,158.74,157.95,0.11%,584150
2018-10-15,158.59,158.66,158.87,158.46,0.04%,428870
2018-10-16,158.72,158.49,158.81,158.34,0.08%,578940
2018-10-17,159.16,158.73,159.24,158.72,0.28%,681730
2018-10-18,159.52,158.89,159.94,158.82,0.23%,832960
2018-10-19,159.40,159.78,160.08,159.07,-0.08%,1040000
2018-10-22,159.34,159.07,159.52,158.84,-0.04%,655440
2018-10-23,159.79,159.55,159.98,159.43,0.28%,765600
2018-10-24,160.18,159.67,160.35,159.66,0.24%,729990
2018-10-25,160.16,160.29,160.33,159.83,-0.01%,681400
2018-10-26,160.87,160.32,160.90,160.22,0.44%,865940
2018-10-29,160.35,160.62,160.79,160.06,-0.32%,729930
2018-10-30,160.44,160.35,160.56,159.96,0.06%,752800
2018-10-31,160.26,160.20,160.37,160.01,-0.11%,660230
2018-11-01,159.98,160.23,160.27,159.75,-0.17%,649790
2018-11-02,159.63,159.72,159.81,159.45,-0.22%,658080
2018-11-05,159.74,159.60,159.91,159.58,0.07%,480070
2018-11-06,159.70,159.71,160.04,159.61,-0.03%,525130
2018-11-07,159.50,159.82,159.89,159.28,-0.13%,615100
2018-11-08,159.37,159.29,159.51,159.19,-0.08%,535800
2018-11-09,160.03,159.43,160.07,159.43,0.41%,578860
2018-11-12,160.29,159.95,160.45,159.93,0.16%,497500
2018-11-13,160.08,160.19,160.42,159.98,-0.13%,777660
2018-11-14,160.14,160.36,160.47,159.96,0.04%,709580
2018-11-15,160.81,160.14,160.92,160.07,0.42%,1050000
2018-11-16,160.65,160.54,160.76,160.54,-0.10%,590150
2018-11-19,160.60,160.73,160.73,160.24,-0.03%,613080
2018-11-20,160.89,160.64,161.04,160.54,0.18%,777050
2018-11-21,160.58,160.71,160.78,160.48,-0.19%,627430
2018-11-22,160.63,160.70,160.87,160.53,0.03%,436790
2018-11-23,161.10,160.65,161.19,160.51,0.29%,649260
2018-11-26,160.74,160.93,160.99,160.64,-0.22%,628250
2018-11-27,161.02,160.90,161.21,160.82,0.17%,649680
2018-11-28,160.90,161.00,161.18,160.83,-0.07%,880820
2018-11-29,161.41,161.00,161.42,160.98,0.32%,852040
2018-11-30,161.54,161.31,161.58,161.27,0.08%,849020
2018-12-03,161.50,161.01,161.70,161.01,-0.02%,1610000
2018-12-04,162.09,161.91,162.43,161.61,0.37%,1920000
2018-12-05,161.99,162.28,162.45,161.97,-0.06%,439470
2018-12-06,162.38,162.30,162.48,162.12,0.24%,25100
2018-12-07,163.17,163.23,163.46,162.93,0.49%,619940
2018-12-10,163.40,163.49,163.64,162.98,0.14%,671100
2018-12-11,163.48,163.24,163.59,162.83,0.05%,741270
2018-12-12,162.98,163.35,163.53,162.60,-0.31%,708400
2018-12-13,162.87,162.77,163.14,162.51,-0.07%,806930
2018-12-14,163.20,162.89,163.30,162.81,0.20%,554180
2018-12-17,163.14,163.28,163.30,162.96,-0.04%,398430
2018-12-18,163.34,163.29,163.55,163.22,0.12%,482970
2018-12-19,163.38,163.48,163.85,163.24,0.02%,543110
2018-12-20,163.56,163.74,164.01,163.41,0.11%,696500
2018-12-21,163.36,163.54,163.54,163.27,-0.12%,385740
2018-12-27,163.73,163.18,163.79,163.15,0.23%,334720
2018-12-28,163.54,163.64,163.76,163.42,-0.12%,335360
2019-01-02,164.64,163.70,164.94,163.58,0.67%,713330
2019-01-03,164.82,164.91,165.10,164.38,0.11%,683680
2019-01-04,163.97,165.01,165.04,163.88,-0.52%,649420
2019-01-07,163.96,163.93,164.32,163.76,-0.01%,541360
2019-01-08,163.74,163.76,163.90,163.50,-0.13%,658670
2019-01-09,163.96,163.71,164.11,163.48,0.13%,656380
2019-01-10,164.21,163.93,164.38,163.93,0.15%,647110
2019-01-11,164.41,164.25,164.64,164.16,0.12%,563190
2019-01-14,164.57,164.51,164.88,164.43,0.10%,540340
2019-01-15,164.89,164.62,164.98,164.38,0.19%,706550
2019-01-16,164.59,164.80,164.90,164.36,-0.18%,638530
2019-01-17,164.30,164.72,164.89,164.23,-0.18%,566680
2019-01-18,164.07,164.28,164.34,163.84,-0.14%,712270
2019-01-21,164.13,164.20,164.30,164.04,0.04%,272110
2019-01-22,164.47,164.25,164.75,164.12,0.21%,608300
2019-01-23,164.57,164.65,164.77,164.34,0.06%,600560
2019-01-24,165.32,164.72,165.54,164.59,0.46%,890970
2019-01-25,165.07,165.35,165.43,164.96,-0.15%,603230
2019-01-28,164.91,165.19,165.30,164.69,-0.10%,647820
2019-01-29,165.08,164.94,165.28,164.85,0.10%,566210
2019-01-30,165.18,165.24,165.53,164.99,0.06%,571070
2019-01-31,165.67,165.52,165.87,165.30,0.30%,801430
2019-02-01,165.50,165.73,165.77,165.43,-0.10%,711770
2019-02-04,165.28,165.61,165.64,165.22,-0.13%,418540
2019-02-05,165.49,165.40,165.52,164.93,0.13%,623600
2019-02-06,165.51,165.42,165.68,165.37,0.01%,491940
2019-02-07,166.36,165.59,166.45,165.52,0.51%,896170
2019-02-08,166.75,166.39,166.83,166.26,0.23%,635900
2019-02-11,166.35,166.68,166.73,166.15,-0.24%,602030
2019-02-12,166.02,166.26,166.26,165.84,-0.20%,634420
2019-02-13,166.12,166.00,166.24,165.86,0.06%,531260
2019-02-14,166.54,166.22,166.73,166.02,0.25%,628470
2019-02-15,166.47,166.55,166.64,166.28,-0.04%,474920
2019-02-18,166.36,166.53,166.55,166.28,-0.07%,238960
2019-02-19,166.42,166.42,166.75,166.27,0.04%,654660
2019-02-20,166.51,166.45,166.69,166.35,0.05%,492430
2019-02-21,166.07,166.60,166.67,165.85,-0.26%,983250
2019-02-22,166.62,166.17,166.72,166.11,0.33%,514630
2019-02-25,166.40,166.56,166.62,166.20,-0.13%,530950
2019-02-26,166.27,166.50,166.66,166.16,-0.08%,731370
2019-02-27,165.68,166.35,166.48,165.56,-0.35%,1040000
2019-02-28,165.31,165.71,165.97,165.15,-0.22%,997600
2019-03-01,165.22,165.33,165.38,164.97,-0.05%,1040000
2019-03-04,165.59,165.19,165.71,165.01,0.22%,1380000
2019-03-05,165.52,165.67,165.79,165.26,-0.04%,1420000
2019-03-06,166.11,165.80,166.29,165.63,0.36%,335510
2019-03-07,166.24,166.15,166.28,166.03,0.08%,15400
2019-03-08,164.39,164.44,164.74,164.31,-1.11%,804480
2019-03-11,164.53,164.61,164.62,164.32,0.09%,509730
2019-03-12,164.54,164.25,164.74,163.92,0.01%,733720
2019-03-13,164.47,164.56,164.68,164.18,-0.04%,459080
2019-03-14,164.13,164.21,164.45,164.07,-0.21%,542780
2019-03-15,164.14,164.22,164.45,163.94,0.01%,560010
2019-03-18,164.27,164.22,164.36,163.96,0.08%,454400
2019-03-19,163.96,164.22,164.35,163.63,-0.19%,727890
2019-03-20,164.25,163.89,164.53,163.84,0.18%,566590
2019-03-21,164.85,164.39,164.93,164.32,0.37%,725540
2019-03-22,165.74,164.65,165.86,164.62,0.54%,1010000
2019-03-25,165.66,165.58,165.97,165.34,-0.05%,623210
2019-03-26,165.58,165.79,165.83,165.45,-0.05%,600790
2019-03-27,166.59,165.79,166.70,165.68,0.61%,1070000
2019-03-28,166.39,166.54,166.75,166.21,-0.12%,755690
2019-03-29,166.34,166.26,166.42,166.02,-0.03%,695140
2019-04-01,165.67,166.21,166.21,165.60,-0.40%,730960
2019-04-02,166.11,165.70,166.17,165.70,0.27%,563230
2019-04-03,165.40,165.93,166.00,165.18,-0.43%,820780
2019-04-04,165.52,165.28,165.66,165.19,0.07%,596190
2019-04-05,165.36,165.35,165.52,165.07,-0.10%,552260
2019-04-08,165.36,165.38,165.55,165.14,0.00%,358590
2019-04-09,165.48,165.29,165.64,165.11,0.07%,543180
2019-04-10,165.89,165.54,166.00,165.40,0.25%,583760
2019-04-11,165.58,165.82,165.87,165.51,-0.19%,510180
2019-04-12,164.62,165.64,165.79,164.56,-0.58%,951270
2019-04-15,164.66,164.59,164.76,164.33,0.02%,650830
2019-04-16,164.60,164.65,164.94,164.39,-0.04%,661540
2019-04-17,164.30,164.50,164.59,164.06,-0.18%,679000
2019-04-18,165.22,164.42,165.27,164.33,0.56%,768220
2019-04-19,165.12,165.12,165.12,165.12,-0.06%,
2019-04-23,164.94,165.01,165.13,164.71,-0.11%,557090
2019-04-24,165.73,164.99,165.78,164.96,0.48%,717030
2019-04-25,165.69,165.70,165.80,165.56,-0.02%,533570
2019-04-26,165.82,165.77,165.92,165.55,0.08%,503150
2019-04-29,165.55,165.80,165.84,165.33,-0.16%,523120
2019-04-30,165.31,165.48,165.69,164.84,-0.14%,938720
2019-05-02,165.24,165.16,165.48,164.97,-0.04%,772200
2019-05-03,165.26,165.12,165.45,164.82,0.01%,599610
2019-05-06,165.44,165.51,165.86,165.31,0.11%,324790
2019-05-07,166.08,165.59,166.18,165.24,0.39%,825200
2019-05-08,166.20,166.06,166.47,165.92,0.07%,807470
2019-05-09,166.26,166.14,166.54,166.10,0.04%,713530
2019-05-10,166.25,166.12,166.40,165.94,-0.01%,617040
2019-05-13,166.52,166.33,166.61,166.10,0.16%,581370
2019-05-14,166.59,166.51,166.72,166.31,0.04%,583820
2019-05-15,166.94,166.66,167.43,166.57,0.21%,963280
2019-05-16,166.95,167.06,167.27,166.78,0.01%,793120
2019-05-17,167.06,167.04,167.41,166.86,0.07%,626130
2019-05-20,166.79,166.98,167.07,166.63,-0.16%,551280
2019-05-21,166.49,166.74,166.90,166.33,-0.18%,772870
2019-05-22,166.72,166.52,166.90,166.44,0.14%,681340
2019-05-23,167.22,166.91,167.40,166.86,0.30%,784240
2019-05-24,167.24,167.28,167.33,167.10,0.01%,524820
2019-05-27,167.64,167.35,167.69,167.18,0.24%,260210
2019-05-28,167.80,167.55,167.93,167.52,0.10%,944510
2019-05-29,168.02,167.91,168.13,167.85,0.13%,838690
2019-05-30,168.00,167.84,168.21,167.72,-0.01%,730320
2019-05-31,168.34,168.33,168.63,168.30,0.20%,1330000
2019-06-03,168.37,168.59,168.69,168.33,0.02%,1700000.00
2019-06-04,168.46,168.48,168.68,168.39,0.05%,1450000
2019-06-05,168.68,168.50,168.84,168.38,0.13%,231630
2019-06-06,168.95,168.72,169.01,168.70,0.16%,25350
2019-06-07,171.72,171.30,171.80,171.25,1.64%,674790
2019-06-10,171.11,171.55,171.66,171.06,-0.36%,488850
2019-06-11,171.36,171.11,171.42,170.98,0.15%,540200
2019-06-12,171.48,171.38,171.62,171.32,0.07%,565270
2019-06-13,171.54,171.45,171.69,171.39,0.03%,507650
2019-06-14,171.78,171.63,171.99,171.59,0.14%,586200
2019-06-17,171.56,171.71,171.75,171.42,-0.13%,479350
2019-06-18,172.86,171.54,172.88,171.51,0.76%,1000000.00
2019-06-19,172.16,172.67,172.72,172.09,-0.40%,713170
2019-06-20,172.64,172.59,172.70,172.41,0.28%,667620
2019-06-21,172.07,172.55,172.65,171.95,-0.33%,712320
2019-06-24,172.47,172.02,172.59,172.02,0.23%,463680
2019-06-25,172.88,172.45,172.91,172.45,0.24%,578800
2019-06-26,172.50,172.76,172.82,172.26,-0.22%,647740
2019-06-27,172.62,172.36,172.77,171.92,0.07%,700990
2019-06-28,172.74,172.67,172.84,172.46,0.07%,487240
2019-07-01,173.30,172.57,173.33,172.47,0.32%,622880
2019-07-02,173.35,173.30,173.50,172.97,0.03%,603380
2019-07-03,173.67,173.59,173.90,173.53,0.18%,653580
